Block,Address,Layer,Matrix_Position,Diagonal_Value
3319,18mKU2wMsu1kMG6QVhfNQ4vqxUDvteemCP,0,"[119,119]",27
3320,1mZXYt4bFMML8cCAeVEkq9zfmFw8HTJT8,0,"[120,120]",-27
3400,1Ev3kDGCcBc28NorYb5ciq7TtXH3ipZqiv,0,"[72,72]",-27
3401,1HZHXf1YDR1HG1kffLCcP38Ex8J3ReNdrQ,0,"[73,73]",-27
3402,1C5S9gNX7EYHoVBnXx1yXq1r94acXS76xq,0,"[74,74]",-27
3420,1BJE8eJjSjxf4LbTUWspHdQQyf7G12AVE,0,"[92,92]",-27
3422,1G4Abcx5EDzJr4ERz7Hqh555ZaSCJyKkx7,0,"[94,94]",-27
3423,1MiZtscUAeo63F8t4iFEhQVigrMzZd6WMf,0,"[95,95]",-27
3447,1PxyrD6CeWZfzsxoc7oKGj1ZgKfaP5TzQE,0,"[119,119]",27
3448,1HSxNgHJtCa33vTXUf2ZwcyAcDC9Ax85n3,0,"[120,120]",-27
3528,1C3kAGvC1RZh2SBAEBbkRdPdfrqGkmRjY7,0,"[72,72]",-27
3529,1JPTaSjmNrmfwgPm8qpQzZZYqNecY71ddv,0,"[73,73]",-27
3548,19Brg6TFET5t8Wzm76joP3iGfLy2XSBf2m,0,"[92,92]",-27
3550,17eP6Hytpe9xhdvzkfL7XAvMoFQe5zo9sX,0,"[94,94]",-27
3575,16asJXtABA2G4fMbCNFPN2Voaem7y597gR,0,"[119,119]",27
3576,1DyCZP3hwVT3CptsN6UPLUCYGxvSM2AF6b,0,"[120,120]",-27
3658,1K5qXZRxB5Y9A1oSR6aEn6iu51chqZdGK8,0,"[74,74]",-27
3663,1Fz5LuLY3CAbvPH3DLMvafpeFqzq7GbSep,0,"[79,79]",27
3676,17GEWgpctdvoFMZu3eJ63CwUkWZx5Er71j,0,"[92,92]",-27
3678,1CAzhSfHd8iLG8jsdm32PheWM9353yjaVq,0,"[94,94]",-27
3703,16pizzgZteGHncFLADCdgZwpQWnv9sEhFN,0,"[119,119]",27
3704,172zKFnk58JobpBmfjD8ozhpBfJWye6rX5,0,"[120,120]",-27
3786,19f62ynMxojQMggbDgRxt8WyewWEwSQ6PA,0,"[74,74]",-27
3791,18dUWMmmPki3tJGq48v2GWbNEuckAQzcTM,0,"[79,79]",27
3800,1LEpTTqZvnyQtw5J9NcKPMUvh57np5oZNg,0,"[88,88]",-27
3806,14Ye8BBC6TdF5pKiLFsXFPfdEztunE5HXs,0,"[94,94]",-27
3807,1MibGhB7AWtVg6raoDpN3o28xygZxz29Hs,0,"[95,95]",-27
3831,1M9MSJV6x9wimw3UY7t4QAZwnnWBtTrdTb,0,"[119,119]",27
3832,1ME4M7c2fQKtqWFXsBV6cTH8oMCG7f7DRX,0,"[120,120]",-27
3912,19DurvmuZNfgVRXyMdL1ZCLvzvCLbWb3gJ,0,"[72,72]",-27
3913,15KEQYWpCGnfEFV4c5QCSTdMTxTvWLgXg6,0,"[73,73]",-27
3914,17UwFXcSdBXQvb8J64nmFzQjEbVVh4scNu,0,"[74,74]",-27
3919,1PS8FnmiLK1nvqEKfJxBMMsHnCvoTW37tJ,0,"[79,79]",27
3932,1Q2csjFxE5auKQiY6X22exj61bikfhCPpN,0,"[92,92]",-27
3959,1P4jPZDeQSUh6SGGJ6w3Kcqrfn8T3N1bGT,0,"[119,119]",27
3960,1uWoZxwZyMz9di3G7cY9BKEZix35SqNVc,0,"[120,120]",-27
4041,1AK8fDzd84gvDmAWSVkgtdLLF1ViMffwcv,0,"[73,73]",-27
4042,1H5xxk3Kkg1NJRAPgZEixm6JDzQ8RXULTo,0,"[74,74]",-27
4047,1N9ik6kBqviPLZAL2xwxnBrt25rN7wpJMk,0,"[79,79]",27
4056,1Q8Laa15n6x59MKaijDjAiMbHXMzUpnsuF,0,"[88,88]",-27
4063,1NxV6Whv9fq9gifxN1UdMf6ihARuCHdhP3,0,"[95,95]",-27
4088,1EaCExr2mSKRzupJQscQSEd1o5ghhYHdQB,0,"[120,120]",-27
4168,1BjUgH2BrkHC1roTpfgDVFe7senQe3NRpv,0,"[72,72]",-27
4170,16z9Zd2c8qGojCwhnruy29TrR1ErCgrmqw,0,"[74,74]",-27
4175,1AuD6pEahMqnyPaDmhRvtLdootFmo4kq5f,0,"[79,79]",27
4188,1MJsZmfKJwLne5v29KG1cLCC9jqcwrt2j,0,"[92,92]",-27
4191,1Ab9dJdPZVEyBGXz38FSJCTswyHjJHejwF,0,"[95,95]",-27
4216,19BjVsiZ4SEpmhGzvdsyZe1s4zKc8D7gGr,0,"[120,120]",-27
4296,15Gkhhv2s7xTRM1DHXZ29ab2Rf7wbxmMQ2,0,"[72,72]",-27
4297,1C5u6UB1nvLxYb4gfX8bDok2R6zJAmxDza,0,"[73,73]",-27
4298,18RRUY5WjwwC1cE6Y3rw8wamEJ7td2Jp6j,0,"[74,74]",-27
4312,1BUkr8ihfUUpgNWM3pXS2PRiqsKqRzR4VH,0,"[88,88]",-27
4316,1KUYdLFHxWpRLvUJxm5qE8rbnfJMmvYCNX,0,"[92,92]",-27
4318,1KQ4B4tpomnfuWgL9LcbWKPn2ciXqTKWed,0,"[94,94]",-27
4343,14Z4BzrLUBvbeq5NETGVkAtb9A6Scc4CdA,0,"[119,119]",27
4344,1KLVoqLcieY5hrXTfYWUAJi5XCC9Q9JBdU,0,"[120,120]",-27
4424,1JQFn9zRuCsuwUNV3hqeWQU6TPMTP1PxQB,0,"[72,72]",-27
4425,1GGCcsUcLMuhnG42hcW12cXHdp8SbW3M8D,0,"[73,73]",-27
4440,14hZG4iqKzD6oSudaiFeTyPR2bPnZsY7Qi,0,"[88,88]",-27
4444,16Wh6nx57afkcxYpqba1m3hsRUpPLnyMWT,0,"[92,92]",-27
4447,15AEyoReQZUzZKgfLGwJotNUxNPPUYUeed,0,"[95,95]",-27
4472,17xWcTYM9DgcPFJfhxLsZCgVdFFLGN92oN,0,"[120,120]",-27
